#numAllW:679308082
ZMAG,904
ZEUS,5632
ZERO,66991
ZENO,2982
YOUR,750883
YORK,554675
YEAR,1236454
YALE,30742
XXII,2215
XIII,9244
WWW1,7641
WRIT,3814
WORK,1017776
WORD,277630
WITH,10298875
WISH,78406
WING,118601
WILL,1440441
WILD,78930
WIKI,448925
WIFE,254048
WIDE,169824
WHOM,165763
WHIG,4277
WHEN,2088915
WHAT,1245841
WEST,624139
WERE,3865001
WENT,341433
WELL,1256376
WEEK,235136
WEAR,47674
WEAK,95720
WAYS,101399
WAVY,2397
WAVE,57920
WASN,74384
WARD,57773
WANT,277086
WALT,10931
WALL,102061
WAKE,28498
WADE,13283
VOTE,216523
VOLS,15409
VIRI,156
VIEW,384613
VICE,112972
VETO,5094
VERY,859666
VEGA,7616
VASE,3615
USGS,25208
USES,199987
USED,1614058
USDA,19151
US50,260
UPON,286256
UNIT,178759
UIUC,4162
TYPE,347203
TWHP,633
TURN,168195
TUBE,30838
TRUE,216603
TROY,15166
TRIM,12409
TRAP,18287
TOWN,639285
TOOK,480472
TONY,70704
TONS,32404
TOMB,25457
TOLD,130926
TODD,24605
TIME,2007580
TIED,43155
THUS,277966
THIS,7765606
THIN,34716
THEY,2871028
THEN,1413927
THEM,1217338
THAT,10882307
THAN,1454274
TEXT,522718
TEST,185582
TERM,408862
TEOR,76
TENT,9038
TENS,12280
TEND,52074
TECH,54389
TEAM,903781
TAME,3037
TALL,46710
TALK,1136883
TALE,33522
TAKE,484943
SUNY,3680
SUCH,1937794
STYX,1289
STOP,166494
STOA,555
STAT,12397
STAR,262638
SPOT,63511
SORT,117147
SOON,232137
SONS,87233
SONG,598280
SOME,1886758
SOLE,40488
SOLD,214793
SOIL,40591
SOCK,40153
SNOW,51282
SIZE,406303
SITU,3474
SITE,676207
SING,38735
SIGN,112464
SIDE,441243
SICI,10588
SHUT,29269
SHOW,670879
SHOT,146033
SHIP,198335
SHED,15181
SENT,190453
SEND,52425
SEMI,108639
SELL,84359
SELF,239054
SEES,44470
SEEN,325945
SEEM,163436
SEEK,46569
SEED,32446
SEAT,142577
SEAN,25913
SAYS,205118
SAVE,89044
SANK,13671
SAME,896752
SALE,60227
SAIL,18972
SAID,514961
SAFE,62274
SACK,7174
RUNS,168220
RULE,278680
ROSE,93742
ROOM,161312
ROME,72364
ROLE,340293
RODE,9704
ROCK,257830
ROAD,426850
RISK,84952
RISE,89021
RIND,964
RIDE,51303
RICH,78995
REST,175374
REAL,307395
READ,239542
RATE,129985
RARE,81089
RAIN,51472
RAIL,83303
RAGE,13369
RACE,255723
QUOD,1797
PYRE,884
PUTS,24864
PUSH,33147
PROD,39228
PREY,19560
POUR,16535
POST,336386
PORT,118113
POPE,45811
POOR,123131
POLL,36282
POLK,4822
POET,94956
POEM,56918
PMGR,6
PLAY,427604
PLAN,163890
PIPE,22465
PHP3,10287
PENN,18541
PEER,72998
PEAK,81576
PAUL,206186
PATT,409
PATH,67534
PAST,245404
PASS,142444
PART,1147576
PARK,387909
PAIR,61466
PAIN,45000
PAID,84075
PAGE,3371844
PA62,325
PA44,294
OWEN,20417
OVER,1490659
OVAL,17587
ORAL,26673
ONTO,77587
ONLY,1887724
ONES,110733
ONCE,374483
OBEY,5975
OATH,13309
NOTE,479432
NONE,141831
NOAM,1462
NMAH,163
NLSI,17
NINE,130808
NICE,64779
NEXT,417721
NEWS,1028693
NEED,426874
NECK,32868
NEAR,429477
NEAL,10023
NBSP,1520376
NAVY,166383
NASA,57403
NAME,5426064
MYTH,25304
MUST,352079
MUCH,706443
MOVE,219652
MOST,1586168
MORE,2151302
MOON,82071
MOHL,107
MOBS,1512
MITO,1020
MINI,40190
MIND,142628
MILK,32250
MILD,16401
MICE,11170
MERE,26661
MENU,25498
MELT,5932
MEET,158083
MEAN,172366
MEAL,13487
MATH,721152
MATE,21360
MASS,126128
MARY,141872
MARX,12116
MARS,28799
MARK,182348
MAPS,110458
MANY,1406354
MALE,120864
MAKE,709305
MAIN,629049
MADE,2387361
LUST,4826
LUCK,32332
LOVE,336559
LOUD,15559
LOST,309984
LOSS,120023
LOSE,48113
LORD,146042
LOOP,32771
LOOK,268750
LONG,698378
LONE,14978
LOIS,7141
LIVE,442135
LIST,909242
LINK,1115857
LINE,589636
LINC,605
LIKE,1241410
LIFE,824951
LIED,7751
LEVY,12369
LESS,328807
LENS,19582
LEND,7402
LEFT,710810
LEAP,9625
LEAH,3698
LEAD,307368
LAZY,9005
LAWS,126751
LATE,391627
LAST,629252
LAOS,6650
LANE,62929
LAND,366133
LAMB,11451
LAID,60496
LAGS,639
LADY,96291
LACK,150399
KNOX,10428
KNOW,436989
KNEW,54858
KING,407462
KIND,154946
KEPT,133511
KEEP,817859
KATZ,6730
KARL,31730
JUST,1026003
JUNE,1083749
JULY,1162122
JOVE,560
JOIN,98383
JOHN,593780
JOBS,40793
JEFF,41777
JAIL,26272
ISTS,1471
ISSN,9150
ISBN,543559
IRON,77928
IPCC,2925
INTO,1770604
IKEY,362
IISG,295
IDEA,203462
IAIN,3427
HULL,28872
HUGH,26460
HUBS,3095
HTTP,11837564
HTML,2212901
HOUR,108651
HOST,121121
HOME,707633
HOLY,76468
HOLT,11810
HOLD,124136
HOHL,92
HILT,1121
HIGH,908209
HERO,60114
HERE,739554
HERB,10607
HERA,1864
HELT,142
HELP,393417
HELD,477739
HEEL,5666
HEAL,7090
HEAD,357213
HAVE,3760105
HARD,170600
HAND,232787
HALL,253110
HALF,292220
HACK,6185
GULF,30240
GROW,54503
GREW,90821
GRAY,67052
GOOD,656714
GONE,88018
GOES,141110
GODS,35022
GOAL,145028
GIVE,255546
GIRL,135022
GENE,43618
GAVE,195218
GAME,813585
GAIN,69470
FURY,10236
FUND,61590
FULL,446640
FROM,7810297
FREE,490736
FRAC,72919
FOUR,685616
FORM,475653
FOOT,80193
FOOL,13406
FOOD,178275
FOND,8910
FOLK,58277
FLUX,7300
FLEE,14662
FLED,30969
FLAG,87550
FIVE,455315
FIRM,88585
FIRE,249103
FINE,132052
FIND,440428
FILM,884438
FEUD,12483
FELT,81291
FELL,85293
FEET,111167
FEEL,166688
FEAR,53164
FATE,32414
FAST,83060
FARM,88394
FALL,168554
FAIR,312828
FAIL,42445
FACT,360921
FACE,272834
EVIL,62721
EVER,259140
EVEN,779916
ERIC,53833
EPIC,24349
ELIS,930
EIUS,261
EERE,820
EDGE,79586
EASY,90295
EAST,568747
EACH,748995
DVDS,11293
DUTY,65672
DUMP,9156
DUFF,5644
DUCK,19801
DUAL,36056
DRUG,77597
DROP,54046
DREW,47405
DOWN,514681
DOOM,12947
DONE,296661
DOES,743460
DIED,427437
DIDN,159882
DICT,2716
DESK,42261
DENY,15001
DEFY,2128
DEEP,96654
DEAN,53146
DEAL,161399
DEAD,161197
DAYS,347640
DATE,267744
DATA,318420
DARK,122319
DANS,10513
DAMN,9326
DALE,17756
CURE,17344
CULT,35016
CUES,3797
COUP,23069
COST,127928
CORE,82383
COPY,112624
COPE,12052
COOL,44100
CONE,11095
COME,291258
COMA,5808
CODE,298328
COAL,45989
CLIO,3548
CLIM,117
CLAY,29527
CITY,1144309
CITE,71100
CHAT,16266
CENT,20096
CDNC,17
CAST,163330
CASE,527882
CARS,100540
CARL,41318
CARE,160510
CARD,101911
CAPS,32905
CAMP,116691
CAME,362829
CALL,187145
BUSY,24713
BURN,25269
BUOY,1535
BUFE,57
BRDF,46
BOYS,108562
BOYD,13335
BOWL,49711
BOTH,1049845
BOSE,5165
BORN,992268
BOOK,678443
BOND,46689
BOMB,50523
BODY,297240
BOAT,71988
BLOW,23796
BILL,148904
BICE,458
BEST,726405
BELT,32200
BELL,65001
BEEN,2495465
BEAT,81616
BEAR,58974
BBVA,189
BASE,194254
BARN,12068
BARE,14355
BANK,164005
BAND,651165
BALL,117426
BACK,702929
BABY,74910
AXIL,86
AWAY,283025
AVID,7692
ASPX,258821
ASKS,41227
ASDS,119
ARMY,367763
ARES,3215
AREA,842407
ANTI,163856
ANNE,50940
AMAN,1823
ALSO,4256882
ALBC,210
ALBA,7309
AJAX,5580
AIMS,29221
AGED,50656
ADOS,199
ADAM,56523
ACTS,91078
ACHE,917
ABLI,13
ABLE,267404
ABEL,6384
8205,97
4796,112
4341,135
30TH,13759
2980,327
23RD,12304
21ST,34670
20TH,103392
2012,15727
2010,617515
2009,2881964
2008,3315850
2007,3214251
2006,2509092
2005,1599627
2004,1004408
2003,677706
2002,584561
2001,591017
2000,645931
19TH,109576
1999,462633
1998,419386
1997,379211
1996,378142
1995,338757
1994,317032
1993,297465
1992,294651
1991,297892
1990,285069
1988,243313
1987,232107
1986,226345
1985,219271
1984,216574
1983,204425
1982,201403
1981,211898
1980,211097
1979,194942
1977,176528
1976,177631
1975,174602
1974,175157
1973,167894
1972,172048
1971,189506
